output/traj10_set0_rep0_counts.csv:generation,active_cell_count,latent_cell_count,active_turned_latent,latent_turned_active,latent_died,latent_proliferated,number_mutations,number_dual_inf,mean_fitness_active,mean_conserved_active,mean_immune_active,mean_replicative_active
output/traj10_set0_rep7_counts.csv:1389,3115,250,3,1,13,8,288,92,0.6387254852760464,0.9968740646760508,0.7576564906752493,0.8456936080508538
output/traj10_set0_rep7_counts.csv:1736,3115,232,1,4,10,9,319,102,0.6224607266150809,0.9968740646760506,0.7485712260942289,0.8339310215853513
output/traj10_set0_rep7_counts.csv:2083,3115,279,3,4,17,14,286,90,0.50330030894795,0.9971582406145914,0.6099631353289329,0.827461386278727
output/traj10_set0_rep7_counts.csv:2431,3115,276,3,3,11,8,291,80,0.4563415960831289,0.9971582406145915,0.5582025164228016,0.8198525051633041
output/traj10_set0_rep7_counts.csv:2778,3115,303,3,5,12,18,287,84,0.5063614459817461,0.9988632962458365,0.6255916019367995,0.8105384259645783
output/traj10_set0_rep7_counts.csv:3125,3115,322,2,3,11,13,283,78,0.518576505013181,0.9988632962458366,0.6467020597827825,0.8028490114100714
output/traj10_set0_rep7_counts.csv:3472,3115,265,4,2,6,7,271,91,0.6104003970976811,0.9982949443687547,0.7715904551910663,0.7924419471347691
output/traj10_set0_rep8_counts.csv:generation,active_cell_count,latent_cell_count,active_turned_latent,latent_turned_active,latent_died,latent_proliferated,number_mutations,number_dual_inf,mean_fitness_active,mean_conserved_active,mean_immune_active,mean_replicative_active
output/traj10_set0_rep8_counts.csv:0,757,0,0,0,0,0,0,0,0.887860911283044,1.0,1.0,0.887860911283044
output/traj10_set0_rep8_counts.csv:347,3115,283,1,4,17,12,292,75,0.6457170262455777,0.9980107684302139,0.7388099620895883,0.8757520179556547
output/traj10_set0_rep8_counts.csv:694,3115,298,4,1,8,12,306,84,0.6805729913733941,0.9957373609218869,0.7976368824773972,0.8569154470774019
output/traj10_set0_rep8_counts.csv:1042,3115,269,4,1,10,12,282,71,0.7213619323663965,0.9968740646760501,0.8532511674493556,0.8481205426248313
output/traj10_set0_rep8_counts.csv:1389,3115,286,1,3,6,14,296,93,0.5706235136844051,0.9960215368604279,0.6797390547073405,0.8428442045550898
output/traj10_set0_rep8_counts.csv:1736,3115,236,1,0,14,6,316,77,0.6358808191203889,0.9974424165531323,0.7655062069365148,0.8328128077484028
output/traj10_set0_rep8_counts.csv:2083,3115,216,4,0,10,7,308,71,0.5626802960532937,0.9971582406145912,0.6848952066923218,0.8238340533078017
output/traj10_set0_rep8_counts.csv:2431,3115,240,2,1,11,9,280,96,0.5183206599901191,0.9982949443687548,0.6359872067494927,0.816615385764107
output/traj10_set0_rep8_counts.csv:2778,3115,246,3,4,9,13,287,77,0.5712836305378777,0.996021536860428,0.7054975602140849,0.8129899433070381
output/traj10_set0_rep8_counts.csv:3125,3115,285,2,2,4,14,313,81,0.5050318242095141,0.9980107684302141,0.6281310185375725,0.8058330693126269
output/traj10_set0_rep8_counts.csv:3472,3115,272,2,1,10,13,297,90,0.5679793154500068,0.9971582406145914,0.7110369536375323,0.8011462956111686
output/traj10_set0_rep9_counts.csv:generation,active_cell_count,latent_cell_count,active_turned_latent,latent_turned_active,latent_died,latent_proliferated,number_mutations,number_dual_inf,mean_fitness_active,mean_conserved_active,mean_immune_active,mean_replicative_active
output/traj10_set0_rep9_counts.csv:0,757,0,0,0,0,0,0,0,0.887860911283044,1.0,1.0,0.887860911283044
output/traj10_set0_rep9_counts.csv:347,3115,267,2,1,10,10,298,89,0.6423768608536914,0.996021536860428,0.736599167487112,0.8755276147631919
output/traj10_set0_rep9_counts.csv:694,3115,269,2,4,5,14,276,86,0.6186566722407241,0.9980107684302141,0.7158267741942903,0.8657582141312402
output/traj10_set0_rep9_counts.csv:1042,3115,246,3,0,4,4,294,98,0.6498123469576255,0.9971582406145915,0.7659415178414792,0.8505744378154911
output/traj10_set0_rep9_counts.csv:1389,3115,248,3,2,8,9,279,98,0.6079146951962913,0.9957373609218869,0.7275596320974413,0.8394235275415236
